Time,FZ,C3,CZ,C4
1216095.9964562,304924.46875,312370.03125,318322.03125,299580.28125
1216095.9965,304897.3125,312568.78125,318351.1875,299405.375
1216095.9983827,305222.5625,312472.3125,318619.46875,299926.28125
1216096.0121182,305414.6875,312175.28125,318699.875,300366.15625
1216096.0152811,305226.21875,312105.28125,318503.34375,300144.15625
1216096.0153254,304915.90625,312363.78125,318314.15625,299582.6875
1216096.0170925,304880.40625,312551.78125,318332.125,299398.0625
1216096.0208204,305205.84375,312454.0625,318601.0625,299921.71875
1216096.0346165,305417.5625,312175.125,318703.25,300382.96875
1216096.0378236,305233.5625,312110.3125,318511.75,300164.4375
1216096.0378682,304916.25,312361.09375,318315.0625,299594.03125
1216096.0439714,304883.71875,312548.84375,318334.53125,299409.5
1216096.0440166,305205.75,312443.25,318598.28125,299922.78125
1216096.0577146,305420.40625,312165.71875,318701.46875,300382.4375
1216096.057759,305236.15625,312096.0,318506.21875,300162.125
1216096.060185,304925.71875,312353.125,318316.21875,299598.5
1216096.0602285,304892.46875,312545.0,318340.09375,299414.6875
1216096.0728223,305220.5,312452.1875,318614.5625,299935.65625
1216096.0728677,305433.28125,312176.1875,318715.875,300392.875
1216096.0896067,305256.71875,312116.75,318526.40625,300175.28125
1216096.0896513,304938.53125,312366.90625,318325.59375,299599.5
1216096.0896635,304908.125,312562.875,318348.65625,299413.0
1216096.0920775,305233.5625,312468.09375,318620.28125,299929.84375
1216096.0958472,305435.96875,312186.75,318715.25,300383.15625
1216096.0958917,305244.65625,312118.53125,318519.15625,300160.0625
1216096.0959038,304924.46875,312370.65625,318323.8125,299590.1875
1216096.0984654,304885.21875,312558.5,318344.375,299406.09375
1216096.1008833,305209.875,312459.4375,318613.75,299925.8125
1216096.1045795,305423.09375,312184.15625,318714.53125,300389.9375
1216096.1189657,305224.53125,312104.03125,318506.21875,300159.09375
1216096.1190099,304905.0,312349.8125,318302.96875,299585.1875
1216096.1283734,304875.03125,312544.375,318328.28125,299403.6875
1216096.1284181,305202.4375,312446.46875,318598.5625,299921.1875
1216096.1284302,305405.5,312159.28125,318689.75,300371.15625
1216096.1314552,305225.15625,312091.875,318497.71875,300153.625
1216096.1315003,304913.46875,312343.75,318303.4375,299585.625
1216096.1446169,304884.34375,312540.4375,318328.375,299400.5625
1216096.1476744,305208.09375,312442.96875,318598.90625,299916.4375
1216096.1477183,305426.59375,312171.53125,318708.25,300382.0625
1216096.1497312,305246.53125,312107.53125,318516.84375,300163.375
1216096.1533829,304929.9375,312358.40625,318320.40625,299590.1875
1216096.162132,304905.0,312562.6875,318351.71875,299412.09375
1216096.1664562,305217.03125,312457.28125,318611.25,299916.25
1216096.1664996,305424.4375,312178.6875,318709.4375,300373.125
1216096.1805315,305238.375,312106.28125,318510.5,300152.75
1216096.18058,304925.5625,312359.90625,318313.8125,299584.375
1216096.1820924,304884.5,312550.34375,318330.0625,299391.71875
1216096.1845982,305201.65625,312449.6875,318593.5625,299901.40625
1216096.187124,305416.75,312175.5625,318697.96875,300365.78125
1216096.1897327,305234.0,312106.1875,318505.9375,300152.90625
1216096.2014637,304917.5,312355.625,318310.9375,299585.90625
1216096.201508,304883.09375,312548.75,318334.46875,299398.59375
1216096.2040313,305212.1875,312461.3125,318611.96875,299920.90625
1216096.2040826,305422.9375,312181.09375,318712.5625,300382.875
1216096.2120664,305238.125,312107.15625,318517.1875,300166.78125
1216096.2144905,304921.0,312354.125,318317.5625,299598.25
1216096.2183896,304880.40625,312540.0625,318333.46875,299404.75
1216096.2276606,305206.1875,312445.65625,318604.09375,299917.40625
1216096.2277022,305423.1875,312168.84375,318712.03125,300382.6875
1216096.229628,305238.375,312092.875,318514.25,300162.5625
