measure,channel,left_mean,right_mean,difference_right_minus_left,t_statistic,p_value_uncorrected,left_n,right_n
mu_power_8_12,FZ,0.152574578829557,0.15234431727549966,-0.00023026155405733717,0.07593449413702662,0.9394860910787601,533,498
mu_power_8_12,C3,0.15437916245601555,0.15279882012054802,-0.0015803423354675272,0.5416899884189438,0.5881508669813751,533,498
mu_power_8_12,CZ,0.15314062957094518,0.15237106319987234,-0.0007695663710728384,0.2523181062507977,0.8008464657851397,533,498
mu_power_8_12,C4,0.15528460717838655,0.15454009183529152,-0.0007445153430950258,0.2533778820823548,0.8000277690656826,533,498
beta_power_13_30,FZ,0.3712680841832876,0.3700180008014563,-0.0012500833818313017,0.20657178857913552,0.8363856904061971,533,498
beta_power_13_30,C3,0.37034114575848737,0.37262505130320095,0.0022839055447135825,-0.40957280654064504,0.6822051665106855,533,498
beta_power_13_30,CZ,0.36954945074542866,0.367959123045741,-0.0015903276996876436,0.2620604218901749,0.7933279845918857,533,498
beta_power_13_30,C4,0.37628040544856445,0.37523204020652773,-0.0010483652420367195,0.1852813889704416,0.8530453213444003,533,498
mu_beta_power_8_30,FZ,0.557750301721154,0.5568163325257762,-0.000933969195377804,0.12449299798847299,0.9009495531855551,533,498
mu_beta_power_8_30,C3,0.5588356752130317,0.5597038796328403,0.0008682044198086158,-0.12897874689493366,0.897399845293946,533,498
mu_beta_power_8_30,CZ,0.5568651690031621,0.554065077127139,-0.0028000918760230364,0.37563298498802,0.7072682538561585,533,498
mu_beta_power_8_30,C4,0.5664266195667185,0.5640695236027652,-0.002357095963953282,0.3493275723539466,0.726916345726575,533,498
variance,FZ,1.0,1.0,0.0,0.0,1.0,533,498
variance,C3,1.0,1.0,0.0,0.0,1.0,533,498
variance,CZ,1.0,1.0,0.0,0.0,1.0,533,498
variance,C4,1.0,1.0,0.0,0.0,1.0,533,498
rms,FZ,1.0,1.0,0.0,0.0,1.0,533,498
rms,C3,1.0,1.0,0.0,0.0,1.0,533,498
rms,CZ,1.0,1.0,0.0,0.0,1.0,533,498
rms,C4,1.0,1.0,0.0,0.0,1.0,533,498
